Gender,City,Education_Level,Membership_Type,Payment_Method,Age,Annual_Income,Spending_Score
Female,Bangalore,Master,Silver,Net Banking,42,1395344,24
Male,Hyderabad,Bachelor,Gold,Credit Card,19,885328,61
Male,Pune,PhD,Silver,Credit Card,29,515508,91
Male,Delhi,Bachelor,Basic,Debit Card,57,616561,94
Male,Bangalore,High School,Basic,Cash,26,251567,58
Female,Delhi,Bachelor,Platinum,Net Banking,29,291229,27
Female,Mumbai,Master,Gold,Debit Card,43,1179111,26
Male,Hyderabad,Bachelor,Basic,UPI,26,1447892,7
Male,Mumbai,Master,Platinum,UPI,27,1064950,42
Female,Delhi,PhD,Gold,Debit Card,49,807132,47
Male,Delhi,High School,Silver,Net Banking,51,1412567,53
Female,Pune,PhD,Gold,Debit Card,37,839888,59
Male,Bangalore,High School,Gold,Net Banking,56,824913,38
Male,Bangalore,High School,Basic,Credit Card,19,1117999,69
Female,Mumbai,High School,Basic,Debit Card,18,1031187,87
Male,Hyderabad,Master,Gold,Net Banking,53,1281900,92
Female,Chennai,Bachelor,Basic,Debit Card,41,1065361,98
Male,Bangalore,High School,Basic,Debit Card,44,594768,53
Male,Pune,Bachelor,Basic,Net Banking,19,251272,15
Male,Mumbai,Bachelor,Platinum,Net Banking,48,629069,96
Female,Mumbai,High School,Platinum,Cash,31,449264,26
Male,Chennai,Master,Gold,Debit Card,19,888284,48
Male,Pune,Master,Basic,UPI,46,436538,95
Male,Hyderabad,Bachelor,Platinum,Debit Card,32,778963,19
Male,Pune,PhD,Gold,Debit Card,29,715447,9
Female,Hyderabad,Bachelor,Basic,Net Banking,54,1322167,64
Female,Pune,PhD,Silver,Debit Card,45,353706,93
Male,Pune,Bachelor,Basic,Debit Card,37,1443400,54
Female,Delhi,Bachelor,Basic,UPI,56,539148,51
Male,Mumbai,High School,Platinum,Net Banking,41,1173902,39
Male,Pune,Master,Gold,Debit Card,38,953818,4
Male,Chennai,Bachelor,Gold,Credit Card,27,1027150,3
Female,Pune,High School,Platinum,Cash,63,1362203,64
Female,Bangalore,High School,Basic,UPI,31,489014,29
Female,Mumbai,Bachelor,Silver,Debit Card,54,1285970,11
Female,Bangalore,Bachelor,Basic,Credit Card,35,1038489,97
Female,Mumbai,Master,Basic,Debit Card,41,1328371,58
Female,Bangalore,Master,Silver,Debit Card,31,542553,75
Female,Pune,High School,Platinum,Net Banking,51,242137,27
Female,Pune,Master,Gold,Net Banking,29,338925,97
Female,Delhi,High School,Platinum,Net Banking,39,736667,21
Male,Chennai,Master,Platinum,Credit Card,23,1133296,39
Female,Bangalore,Master,Basic,Debit Card,53,321169,95
Female,Hyderabad,Bachelor,Gold,Cash,62,1418015,46
Female,Delhi,Master,Gold,UPI,53,1397748,66
Female,Bangalore,Bachelor,Platinum,Net Banking,39,575233,91
Female,Bangalore,Bachelor,Silver,Net Banking,31,1180960,36
Female,Delhi,Master,Platinum,Debit Card,33,663120,75
Female,Pune,Bachelor,Silver,Debit Card,53,1034123,82
Female,Bangalore,Bachelor,Gold,Credit Card,42,1416688,65
Female,Pune,Bachelor,Platinum,Credit Card,49,973815,63
Female,Delhi,Master,Basic,Net Banking,50,424062,99
Female,Pune,Bachelor,Platinum,Debit Card,62,257986,35
Male,Mumbai,High School,Gold,Cash,53,631978,31
Male,Hyderabad,Master,Basic,UPI,37,1353891,28
Female,Bangalore,Master,Basic,Debit Card,35,519348,1
Female,Chennai,High School,Silver,Debit Card,55,902214,25
Male,Hyderabad,High School,Basic,Credit Card,20,895139,43
